"HolderAddress","Balance","PendingBalanceUpdate"
"0xb064ea265e262ea2d21645ff5aa127c3088955ee","163,064,057.813663782534848145","No"
"0x0fe7fb4b45ba8265c235eb62b9a97ff2e7e45959","23,203,151.633055245954826985","No"
"0x4f5614bcfefcac84d10a2ad7653442a32e532206","21,698,360.184418969420691734","No"
"0x35feb9ef4772cb09fbac86d6ec569ba223801785","15,192,654.645939380735736011","No"
"0x0afb9890fe17a996de5d68144533d2a2f36801ad","13,728,658.210137070553374123","No"
"0x62d015509a645aca910c1652b2c88fef96d74e6b","13,632,541.721009679503031544","No"
"0x27a6084d2363c45212d9dcf6a433791c85438320","13,182,311.433539122452949869","No"
"0xf0009d34c97c07b7443a475808bc1c30e3983203","12,929,042.464346704582031539","No"
"0xc2978441f46a76c60e0cd59e986498b75a40572d","10,347,142.228313228316311853","No"
"0x0d0707963952f2fba59dd06f2b425ace40b492fe","10,306,212.185012274615122517","No"
"0x76a2d051eafb8104a4ae864168ee7d477c2eef79","10,000,000.711819080542353902","No"
"0xb1b3fa759e04b02054a265146d574a6e048b1e75","10,000,000.690961760005564175","No"
"0xdb49235836a0406d1bbe8020c2628cf3dd70d220","10,000,000","No"
"0x371267a1863080c5f39229183350e0d87d39743e","10,000,000","No"
"0xbae56fbebf24cf8e4f644eb281e0edc73f900a71","9,322,557","No"
"0x09e59395c4012713a1e03bfb8c5aa6cf9e9304bb","9,042,558","No"
"0x105ac0d79f02ab79762e5834a0178f1cfc823b6c","9,000,000","No"
"0xf395c0e26a61d946d306fd2b378efa5961e6f7a6","8,744,017","No"
"0x235d012a3c12817fcca5f9ca75a93f001d9443d4","8,334,801","No"
"0x80a62fd63ef80219629a5cf16f6bb17da4175df9","8,004,915","No"
"0xbd98a9bad3d0dd56d84bbc30a455a90f46dd2aa3","8,000,000","No"
"0x3a9220ac42802394f0627ef76718e4bdef0bd6a8","8,000,000","No"
"0x7fb7c7d3641588e0f5d9829092d5bbe77dd57ca3","8,000,000","No"
"0x3b97dcf2ef6c1acc04542c09fc83d811c5d39029","8,000,000","No"
"0xf9f8038c7a9cf7692cef59b12e240e29ae9ff952","8,000,000","No"
"0x3a52ae6ba551f5d3800660ee48b61559845e4f10","7,930,383.676698414333346208","No"
"0x176e6378b7c9010f0456bee76ce3039d36dc37c8","7,891,250.686102382785120581","No"
"0x7ed42d42faec1e97ddd5c08f72cc38f1e7c19aec","7,698,550.888697890445023018","No"
"0x9a5205805a825c76a3ef3947e4d41f31bdc6a37b","7,628,467.498023630434395258","No"
"0x4a0f0182c7f52304776b0a015065f8fde8e9befb","7,562,000","No"
"0x055faa138133135e2d61b2f3efbebf090d489ba2","7,505,675.162309439691018496","No"
"0xf80fc6f9fa810a3000a5d7ad7e74b9d4d25b0ca2","7,303,719.225416433482","No"
"0x0002dc27b6de4521149068bedb849403e84f02bb","7,283,753","No"
"0x50facccb8e7e9e00ae3b720e22313720445a4758","7,000,000","No"
"0xccd2cc73a2d846f45ab48283a77cd3284d503e50","7,000,000","No"
"0xaaec547d3c730fc7d728b155265a49c71b9dd558","7,000,000","No"
"0xa1d807e8507e9c88abbaa41dc1666119f7bf9c60","7,000,000","No"
"0x0fe0b53aadb114b3a717446465a66c9d983957a3","6,289,408.474188411701321311","No"
"0xa0b969f6cec948f383fab53811e2b2c66d7c3af7","6,011,370.17746131713234793","No"
"0xfadaa91d49aab399fc320e6347caf02ff8c04cc3","5,957,094.809025107122267022","No"
"0x47efa06855b712ea57254b6aa256e8d58e4e87ab","5,883,022.617418796196925972","No"
"0x03a0396b48f52ce243d4cae985c812639c760e70","5,819,258.678006885259783521","No"
"0x877acab9bd8fdfb6fc679ba6340848c14a28f775","5,743,268","No"
"0xd8fff1f09a5e95928f9c8ca4aa02fd2007c311b7","5,612,409","No"
"0xbb366fe4bd9f7fe82e407a7adbbd3e8cfeffb8dd","5,439,400.560610544775874259","No"
"0x8da19164bbedeb8cee53f26ed7e9cd07d3ff162c","5,094,608.544552610186354105","No"
"0x22a8d48ba48ac774b6ca3648490cd84df7ba6d44","5,060,440.616812836817817053","No"
"0x397fa8d3d4d40cda1518a3da25cfcfae77350d22","4,950,123","No"
"0x119b0f48b2ebc4295aa5c727bcba68c0d5a45fe1","4,654,358.886828783755311884","No"
"0xfb71960563af69888eb10182711cd69ddd01dbf7","4,516,860.438100335368291846","No"
"0xad2ea7de84cbfac58db51ee5f3134fc8120b0f7d","4,487,446.879512009344472278","No"
"0xecf66f586f109f91ddfd6df472298dd11ca64a76","4,459,768.821486822838163483","No"
"0xd7d00d3f18ef7547703a43c8350fa44b7a926777","4,410,336.82627027977730063","No"
"0x2a0381805aaa3e3cebb2d45cbdaaddda8d5d0e9c","4,405,474.574991676864825654","No"
"0x70cd1af029c0cdffa8099b686cdb0da821250f68","4,100,646.757146361891444965","No"
"0xfb147870225f9492b8e2b705f92856d43f8d1d70","4,052,874.200634289956700164","No"
"0xbce22e67ff8883a5b0de07171b46c038edd0a416","4,012,063.840562907504374785","No"
"0x24f42af38ba654e61b7d99c2587386b3a028bcaf","3,955,621","No"
"0x7d7b46ae5ce87d190d08a1f0c0f2324b4294c9aa","3,657,951.114883422978025412","No"
"0xe65489d2b01b5ac520c81bf6e694c181e8bec6b8","3,623,189.900495947927733924","No"
"0xd4a08cf067c83d1b2cc1d26831569b7850804be7","3,371,226.548604481165491332","No"
"0x9d4c1c518442ad9eb23cb79a4792d508b49c81af","3,232,331.890443485100073716","No"
"0xdcb07e0412d819abf2d1813bbb15b085cabf6b88","3,209,967.133044892175115757","No"
"0xc42e76168561dbc39eda871167b6440e5396186d","3,126,629.425156146212104829","No"
"0x7a603cc31b6f94c50cea782ba5ecc8ebff14aa89","3,078,098.302116138530362081","No"
"0xfa98fb4a554d49bb10a5a1941a8184ce27f6c252","3,020,764.955055597039290695","No"
"0x6c64f87af61b0d100ccfacb0c719e5d5d2833cd4","3,005,153.648566415592868666","No"
